Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.03    639.70     0.17   191774     0.00     0.00  R_Shadow_PrepareLights
  0.03    639.87     0.17 400283190     0.00     0.00  R_CullFrustum
  0.03    640.04     0.17 41728646     0.00     0.00  Matrix4x4_ScaleFromMatrix
  0.03    640.21     0.17        6     0.03     0.03  PRVM_Prog_Load
  0.03    640.38     0.17   198829     0.00     0.00  CL_SendMove
  0.02    640.54     0.16 45391925     0.00     0.00  GL_DepthRange
  0.02    640.70     0.16       37     0.00     0.00  Image_CopyMux
  0.02    640.86     0.16                             GL_VBOStats_f
  0.02    641.02     0.16  9762769     0.00     0.00  DrawQ_SuperPic
  0.02    641.18     0.16                             PRVM_EDICT_NUM_ERROR
  0.02    641.33     0.15  3540276     0.00     0.00  VM_CL_findradius
  0.02    641.48     0.15  1473627     0.00     0.00  Mod_BSP_BoxTouchingLeafPVS
  0.02    641.63     0.15   483581     0.00     0.00  R_Mod_GetLightInfo
  0.02    641.78     0.15    51520     0.00     0.00  Mod_MD3_AnimateVertices
  0.02    641.93     0.15 29244535     0.00     0.00  VM_vectoangles
  0.02    642.08     0.15  4395673     0.00     0.00  CL_Cache_TraceLineSurfaces
  0.02    642.22     0.15 14738843     0.00     0.00  R_Mesh_PrepareVertices_Vertex3f
  0.02    642.37     0.15 36867769     0.00     0.00  VM_chr2str
  0.02    642.51     0.14  2598608     0.00     0.00  VM_drawcolorcodedstring
  0.02    642.65     0.14                             R_DrawTextureSurfaceList_ShowSurfaces
  0.02    642.79     0.14 14459307     0.00     0.00  Matrix4x4_Transform4
  0.02    642.93     0.14  7229625     0.00     0.00  R_Viewport_TransformToScreen
  0.02    643.07     0.14  1072016     0.00     0.00  R_ScissorForBBox
  0.02    643.21     0.14   198826     0.00     0.00  CL_Input
  0.02    643.35     0.14   401785     0.00     0.00  NetConn_UpdateSockets
  0.02    643.48     0.13  1572012     0.00     0.00  CSQC_R_RecalcView
  0.02    643.61     0.13   183720     0.00     0.00  Con_DrawNotify
  0.02    643.74     0.13   174860     0.00     0.00  VM_tokenizebyseparator
  0.02    643.86     0.12  8539268     0.00     0.00  Sys_DirtyTime
  0.02    643.98     0.12 13812716     0.00     0.00  Con_WordWidthFunc
  0.02    644.10     0.12 12667867     0.00     0.00  VM_stringwidth
  0.02    644.22     0.12   620545     0.00     0.00  VM_CL_gettaginfo
  0.02    644.34     0.12   191918     0.00     0.00  ConBuffer_FixTimes
  0.02    644.46     0.12   184053     0.00     0.00  V_CalcViewBlend
  0.02    644.58     0.12      128     0.00     0.00  Mod_INTERQUAKEMODEL_Load
  0.02    644.70     0.12        1     0.12   584.45  Host_Main
  0.02    644.82     0.12  7911126     0.00     0.00  VM_CL_project
  0.02    644.93     0.12     2941     0.00     0.00  GL_ActiveTexture
